Date,Product,Sales,Region
2026-05-13,Mouse,25,West
13-05-2026,Mouse,1200,South
,laptop,150,North
2026-05-13,keyboard,1200,South
2026/05/10,Mouse,ERROR,West
13-05-2026,Mouse,25,South
13-05-2026,,150,West
2026/05/10,,,East
13-05-2026,laptop,25,West
13-05-2026,keyboard,,North
2026-05-13,LAPTOP,300,North
,laptop,150,West
13-05-2026,keyboard,25,North
,keyboard,150,North
2026-05-13,laptop,25,West
13-05-2026,keyboard,ERROR,East
,,150,North
2026-05-13,,ERROR,North
2026-05-13,laptop,150,North
2026/05/10,,,South
2026/05/10,Mouse,300,East
2026/05/10,keyboard,25,South
,laptop,,South
,Mouse,1200,South
2026/05/10,Mouse,300,South
13-05-2026,LAPTOP,ERROR,South
13-05-2026,laptop,1200,South
2026-05-13,laptop,25,North
2026/05/10,LAPTOP,ERROR,West
2026-05-13,,25,West
,keyboard,150,South
2026/05/10,,ERROR,West
2026-05-13,,300,East
2026-05-13,laptop,,South
2026-05-13,laptop,,East
,Mouse,300,South
13-05-2026,Mouse,25,South
13-05-2026,laptop,ERROR,West
2026/05/10,LAPTOP,25,West
,Mouse,ERROR,East
13-05-2026,LAPTOP,300,East
,laptop,150,South
2026-05-13,keyboard,25,North
,laptop,ERROR,South
2026/05/10,Mouse,1200,East
,Mouse,ERROR,West
2026-05-13,,300,South
13-05-2026,Mouse,25,South
2026-05-13,,,West
13-05-2026,laptop,ERROR,West
2026-05-13,keyboard,ERROR,West
13-05-2026,laptop,,North
13-05-2026,laptop,150,East
2026/05/10,Mouse,ERROR,North
13-05-2026,LAPTOP,,South
2026/05/10,,,West
13-05-2026,,300,West
2026-05-13,,25,East
2026-05-13,,,North
13-05-2026,LAPTOP,,East
,LAPTOP,ERROR,South
13-05-2026,keyboard,,East
13-05-2026,Mouse,150,East
2026/05/10,laptop,300,South
13-05-2026,Mouse,1200,South
2026/05/10,Mouse,1200,West
2026-05-13,laptop,,West
2026-05-13,LAPTOP,1200,North
2026/05/10,LAPTOP,150,East
2026/05/10,laptop,ERROR,South
13-05-2026,laptop,150,East
2026-05-13,LAPTOP,150,South
13-05-2026,LAPTOP,300,South
2026-05-13,,1200,East
2026-05-13,Mouse,25,North
2026/05/10,laptop,300,East
2026-05-13,laptop,150,South
2026-05-13,laptop,300,South
2026-05-13,laptop,1200,East
13-05-2026,LAPTOP,25,South
2026/05/10,LAPTOP,150,East
2026/05/10,Mouse,ERROR,East
2026/05/10,Mouse,,East
2026/05/10,Mouse,150,South
13-05-2026,,300,West
,LAPTOP,25,South
2026/05/10,Mouse,25,East
2026-05-13,,25,South
2026-05-13,LAPTOP,1200,North
2026-05-13,LAPTOP,1200,South
,Mouse,ERROR,East
2026/05/10,keyboard,300,North
2026/05/10,laptop,,South
,,25,West
,keyboard,,East
,laptop,1200,South
13-05-2026,keyboard,150,East
,LAPTOP,ERROR,East
,LAPTOP,300,South
,Mouse,1200,South
2026-05-13,,,North
2026-05-13,LAPTOP,1200,East
2026-05-13,laptop,,South
,keyboard,,North
13-05-2026,keyboard,150,West
13-05-2026,keyboard,25,West
2026/05/10,laptop,,North
,LAPTOP,1200,East
2026-05-13,keyboard,150,East
2026-05-13,,300,South
2026/05/10,Mouse,1200,West
2026/05/10,laptop,150,North
2026-05-13,keyboard,25,North
13-05-2026,keyboard,150,West
2026-05-13,laptop,300,North
2026-05-13,Mouse,,North
2026/05/10,laptop,1200,West
13-05-2026,,ERROR,East
2026-05-13,Mouse,300,North
13-05-2026,laptop,300,South
13-05-2026,LAPTOP,25,West
,Mouse,ERROR,South
2026/05/10,keyboard,150,West
2026/05/10,,300,West
2026/05/10,laptop,1200,West
13-05-2026,LAPTOP,,South
2026/05/10,keyboard,ERROR,East
2026-05-13,,300,West
2026-05-13,,25,North
2026/05/10,LAPTOP,ERROR,East
2026-05-13,,ERROR,West
2026-05-13,LAPTOP,1200,North
2026/05/10,laptop,25,North
2026-05-13,Mouse,25,South
2026-05-13,laptop,,North
2026-05-13,Mouse,,South
2026/05/10,,150,North
2026/05/10,,25,West
2026-05-13,,ERROR,East
2026/05/10,LAPTOP,300,West
,,300,West
2026-05-13,Mouse,1200,West
13-05-2026,LAPTOP,25,East
2026/05/10,Mouse,150,East
,keyboard,150,West
2026/05/10,keyboard,1200,East
2026/05/10,Mouse,150,East
,LAPTOP,300,North
13-05-2026,,25,West
2026-05-13,Mouse,1200,West
2026/05/10,Mouse,ERROR,West
13-05-2026,LAPTOP,150,North
13-05-2026,Mouse,ERROR,North
2026-05-13,,150,South
13-05-2026,laptop,ERROR,West
2026-05-13,keyboard,300,West
2026/05/10,,25,South
2026/05/10,laptop,ERROR,North
2026-05-13,,150,East
,,1200,South
13-05-2026,LAPTOP,ERROR,East
,,,East
2026/05/10,LAPTOP,150,South
13-05-2026,keyboard,,North
,keyboard,150,West
2026/05/10,keyboard,300,South
,keyboard,,East
2026-05-13,LAPTOP,ERROR,West
2026-05-13,keyboard,25,South
,laptop,150,East
2026/05/10,,1200,North
,Mouse,25,East
,keyboard,,East
2026/05/10,LAPTOP,25,South
2026/05/10,keyboard,1200,South
,,25,South
2026-05-13,laptop,ERROR,East
13-05-2026,laptop,300,West
,LAPTOP,ERROR,South
2026/05/10,,300,South
13-05-2026,LAPTOP,,South
,Mouse,150,North
2026-05-13,laptop,25,North
2026-05-13,Mouse,25,South
,keyboard,150,South
2026/05/10,Mouse,300,South
2026/05/10,laptop,25,East
2026/05/10,LAPTOP,ERROR,South
,laptop,25,West
,keyboard,,North
,laptop,,South
13-05-2026,,300,East
,Mouse,25,East
2026-05-13,laptop,1200,South
2026-05-13,,25,East
13-05-2026,keyboard,ERROR,West
2026-05-13,Mouse,300,West
,LAPTOP,ERROR,West
2026-05-13,,1200,West
2026/05/10,keyboard,,North
2026-05-13,keyboard,150,North
,LAPTOP,150,North
2026-05-13,laptop,150,South
13-05-2026,,1200,West
13-05-2026,keyboard,300,West
,laptop,25,East
13-05-2026,,150,West
,Mouse,300,South
2026-05-13,keyboard,1200,South
,LAPTOP,,West
,,25,West
2026-05-13,Mouse,300,East
,laptop,,North
,,ERROR,West
2026/05/10,LAPTOP,,East
13-05-2026,Mouse,300,West
,Mouse,25,North
,,1200,North
13-05-2026,,150,South
2026-05-13,laptop,ERROR,North
2026-05-13,keyboard,ERROR,East
2026/05/10,laptop,25,South
,LAPTOP,,East
2026/05/10,,,West
2026-05-13,,,West
,,1200,South
2026-05-13,keyboard,150,East
2026/05/10,Mouse,150,North
13-05-2026,Mouse,150,South
13-05-2026,,150,North
,laptop,25,South
2026/05/10,laptop,25,East
2026-05-13,Mouse,,South
2026/05/10,keyboard,1200,West
2026/05/10,laptop,150,East
2026-05-13,Mouse,25,North
13-05-2026,keyboard,300,North
2026/05/10,LAPTOP,300,East
,Mouse,ERROR,North
2026/05/10,Mouse,,South
,Mouse,,North
,,25,East
13-05-2026,,150,East
,keyboard,1200,East
2026-05-13,Mouse,150,East
2026-05-13,laptop,300,West
2026/05/10,LAPTOP,,East
13-05-2026,Mouse,1200,South
2026/05/10,,300,West
13-05-2026,,300,West
2026-05-13,LAPTOP,,South
13-05-2026,keyboard,1200,North
13-05-2026,LAPTOP,300,East
13-05-2026,keyboard,150,East
,Mouse,1200,North
13-05-2026,Mouse,1200,South
2026-05-13,LAPTOP,1200,East
,laptop,25,East
,Mouse,150,North
2026/05/10,,1200,North
2026/05/10,Mouse,ERROR,South
2026-05-13,laptop,150,North
2026/05/10,keyboard,ERROR,West
13-05-2026,laptop,25,South
,keyboard,300,South
2026/05/10,laptop,25,East
2026-05-13,Mouse,150,West
13-05-2026,laptop,1200,South
2026/05/10,LAPTOP,300,East
2026/05/10,,25,North
2026-05-13,,300,East
13-05-2026,LAPTOP,150,South
2026-05-13,Mouse,,South
2026-05-13,LAPTOP,25,North
13-05-2026,keyboard,,West
2026/05/10,Mouse,1200,West
13-05-2026,keyboard,1200,West
,Mouse,1200,South
2026/05/10,laptop,ERROR,West
13-05-2026,LAPTOP,25,West
13-05-2026,keyboard,150,East
13-05-2026,keyboard,300,South
2026/05/10,LAPTOP,150,South
,Mouse,150,North
2026-05-13,LAPTOP,25,North
2026/05/10,,25,South
,laptop,300,West
13-05-2026,LAPTOP,25,South
2026-05-13,keyboard,1200,South
2026-05-13,Mouse,,East
,Mouse,ERROR,North
13-05-2026,keyboard,150,South
13-05-2026,LAPTOP,25,East
13-05-2026,,25,South
13-05-2026,LAPTOP,25,East
,LAPTOP,150,West
2026/05/10,laptop,150,North
2026-05-13,LAPTOP,150,East
13-05-2026,LAPTOP,150,West
2026/05/10,LAPTOP,ERROR,North
,laptop,1200,South
,Mouse,25,East
13-05-2026,Mouse,,West
13-05-2026,laptop,150,West
2026/05/10,LAPTOP,300,West
13-05-2026,LAPTOP,ERROR,South
,laptop,ERROR,North
,keyboard,300,East
13-05-2026,Mouse,25,West
,Mouse,300,East
2026-05-13,laptop,1200,North
,keyboard,150,South
2026/05/10,,150,East
,keyboard,300,East
13-05-2026,laptop,300,West
,,ERROR,East
2026/05/10,keyboard,,North
2026/05/10,,1200,East
,,ERROR,East
2026/05/10,LAPTOP,25,East
2026-05-13,LAPTOP,150,South
,laptop,300,South
,,150,South
2026/05/10,LAPTOP,25,East
2026-05-13,,ERROR,South
13-05-2026,LAPTOP,ERROR,West
2026-05-13,Mouse,1200,South
,LAPTOP,,West
13-05-2026,LAPTOP,150,South
2026-05-13,,ERROR,South
2026-05-13,keyboard,,North
,Mouse,1200,East
13-05-2026,Mouse,,East
2026-05-13,LAPTOP,300,North
2026-05-13,LAPTOP,ERROR,South
2026/05/10,keyboard,300,South
,Mouse,ERROR,South
2026/05/10,LAPTOP,,South
,keyboard,ERROR,West
13-05-2026,keyboard,1200,West
2026/05/10,LAPTOP,150,North
,keyboard,,South
,LAPTOP,,East
,,ERROR,West
13-05-2026,Mouse,1200,West
13-05-2026,keyboard,1200,South
2026/05/10,laptop,1200,West
13-05-2026,Mouse,25,East
,,ERROR,North
,keyboard,300,East
2026-05-13,keyboard,300,West
2026-05-13,keyboard,150,West
2026-05-13,laptop,,North
2026/05/10,,,West
2026/05/10,laptop,300,South
2026-05-13,,300,North
,,25,East
,LAPTOP,1200,East
2026/05/10,LAPTOP,150,East
2026-05-13,keyboard,,North
13-05-2026,laptop,1200,South
2026-05-13,LAPTOP,150,South
2026-05-13,LAPTOP,25,North
2026-05-13,,,North
,keyboard,,East
2026-05-13,,,West
,laptop,300,West
2026-05-13,LAPTOP,,South
2026-05-13,laptop,1200,East
,Mouse,ERROR,North
2026-05-13,Mouse,ERROR,East
13-05-2026,Mouse,300,South
2026/05/10,,25,South
13-05-2026,LAPTOP,,North
2026-05-13,LAPTOP,ERROR,East
2026-05-13,laptop,,South
,keyboard,150,East
,LAPTOP,25,East
2026-05-13,keyboard,1200,East
13-05-2026,keyboard,ERROR,North
2026-05-13,keyboard,150,South
2026/05/10,Mouse,ERROR,North
13-05-2026,laptop,25,South
2026/05/10,keyboard,1200,West
13-05-2026,keyboard,1200,West
2026-05-13,keyboard,25,South
,,,West
2026/05/10,,,South
2026-05-13,,25,North
,,ERROR,North
,laptop,25,East
13-05-2026,,1200,East
13-05-2026,laptop,25,East
13-05-2026,LAPTOP,1200,West
2026-05-13,Mouse,1200,North
,LAPTOP,,East
2026/05/10,Mouse,,South
2026/05/10,keyboard,,West
,laptop,,East
2026-05-13,Mouse,1200,West
13-05-2026,laptop,,East
,keyboard,300,East
13-05-2026,Mouse,,North
2026/05/10,laptop,25,North
2026/05/10,keyboard,,South
2026/05/10,laptop,25,East
13-05-2026,laptop,300,North
2026/05/10,laptop,300,East
,laptop,,West
13-05-2026,keyboard,1200,East
,LAPTOP,,South
2026-05-13,Mouse,1200,South
13-05-2026,LAPTOP,ERROR,East
2026/05/10,laptop,ERROR,North
2026/05/10,laptop,300,North
13-05-2026,LAPTOP,ERROR,South
2026-05-13,Mouse,25,West
13-05-2026,,,North
,laptop,ERROR,North
2026/05/10,LAPTOP,ERROR,South
2026/05/10,,,South
2026/05/10,laptop,1200,East
2026-05-13,,ERROR,North
,,,North
13-05-2026,Mouse,ERROR,North
2026/05/10,keyboard,ERROR,West
,,150,North
13-05-2026,keyboard,ERROR,South
2026-05-13,Mouse,25,North
2026-05-13,Mouse,ERROR,East
2026-05-13,laptop,25,West
2026-05-13,laptop,ERROR,South
2026/05/10,laptop,300,West
2026/05/10,laptop,150,East
,keyboard,25,North
13-05-2026,laptop,300,West
2026/05/10,Mouse,,North
2026-05-13,keyboard,1200,East
2026-05-13,Mouse,150,East
2026/05/10,Mouse,ERROR,West
2026-05-13,keyboard,150,South
13-05-2026,laptop,150,East
2026/05/10,LAPTOP,1200,North
,keyboard,25,West
13-05-2026,,,West
,,300,West
,keyboard,,East
13-05-2026,laptop,1200,South
13-05-2026,LAPTOP,150,North
2026/05/10,LAPTOP,ERROR,North
2026/05/10,laptop,150,West
,laptop,150,North
2026/05/10,LAPTOP,25,North
13-05-2026,,150,East
